Country,Year,Export_tonnes
Cameroon,2003,48840.0
Central African Republic,2003,2400.0
Colombia,2003,614640.0
Costa Rica,2003,102120.0
Côte d'Ivoire,2003,158820.0
Cuba,2003,3000.0
Democratic Republic of Congo,2003,12720.0
Dominican Republic,2003,9060.0
Ecuador,2003,37260.0
El Salvador,2003,78240.0
Ethiopia,2003,133740.0
Gabon,2003,60.0
Ghana,2003,1500.0
Guatemala,2003,229260.0
Guinea,2003,21300.0
Guyana,2003,60.0
Haiti,2003,2220.0
Honduras,2003,145500.0
India,2003,222420.0
Indonesia,2003,287700.0
Jamaica,2003,1500.0
Kenya,2003,55200.0
Lao People's Democratic Republic,2003,13980.0
Liberia,2003,420.0
Madagascar,2003,7140.0
Malawi,2003,2940.0
Mexico,2003,155760.0
Nepal,2003,120.0
Nicaragua,2003,60780.0
Nigeria,2003,540.0
Panama,2003,5160.0
Papua New Guinea,2003,68820.0
Paraguay,2003,1860.0
Peru,2003,150180.0
Philippines,2003,720.0
Rwanda,2003,14700.0
Sierra Leone,2003,2040.0
Sri Lanka,2003,360.0
Tanzania,2003,52980.0
Thailand,2003,10860.0
Timor-Leste,2003,2760.0
Togo,2003,4320.0
Trinidad & Tobago,2003,120.0
Uganda,2003,151320.0
Venezuela,2003,15600.0
Viet Nam,2003,697860.0
Yemen,2003,3300.0
Zambia,2003,7800.0
Zimbabwe,2003,5820.0
Angola,2004,360.0
Bolivia (Plurinational State of),2004,5580.0
Brazil,2004,1588680.0
Burundi,2004,20340.0
Cameroon,2004,44040.0
Central African Republic,2004,3840.0
Colombia,2004,611640.0
Costa Rica,2004,85440.0
Côte d'Ivoire,2004,154380.0
Cuba,2004,1500.0
Democratic Republic of Congo,2004,15180.0
Dominican Republic,2004,2760.0
Ecuador,2004,42240.0
El Salvador,2004,79680.0
Ethiopia,2004,149460.0
Ghana,2004,1320.0
Guatemala,2004,198600.0
Guinea,2004,17760.0
Guyana,2004,60.0
Haiti,2004,1920.0
Honduras,2004,166740.0
India,2004,218820.0
Indonesia,2004,327360.0
Jamaica,2004,1740.0
Kenya,2004,45240.0
Lao People's Democratic Republic,2004,16020.0
