Country,Coffee_type,Year,Production_tonnes
Bolivia (Plurinational State of),Arabica,1999,9480.0
Brazil,Mixed,1999,2854680.0
Burundi,Mixed,1999,21060.0
Ecuador,Mixed,1999,71880.0
Indonesia,Mixed,1999,393420.0
Madagascar,Robusta,1999,25620.0
Malawi,Arabica,1999,3540.0
Papua New Guinea,Mixed,1999,83220.0
Paraguay,Arabica,1999,1140.0
Peru,Arabica,1999,164640.0
Rwanda,Arabica,1999,18420.0
Zimbabwe,Arabica,1999,7500.0
Congo,Robusta,1999,180.0
Cuba,Arabica,1999,19680.0
Dominican Republic,Mixed,1999,36420.0
Haiti,Arabica,1999,23940.0
Philippines,Mixed,1999,37320.0
Tanzania,Mixed,1999,50520.0
Zambia,Arabica,1999,3540.0
Cameroon,Mixed,1999,82200.0
Central African Republic,Robusta,1999,14460.0
Colombia,Arabica,1999,570720.0
Costa Rica,Arabica,1999,149100.0
Côte d'Ivoire,Robusta,1999,379200.0
Democratic Republic of Congo,Mixed,1999,28620.0
El Salvador,Arabica,1999,155880.0
Ethiopia,Arabica,1999,227040.0
Gabon,Robusta,1999,120.0
Ghana,Robusta,1999,5340.0
Guatemala,Mixed,1999,307200.0
Guinea,Robusta,1999,21840.0
Guyana,Robusta,1999,300.0
Honduras,Arabica,1999,179100.0
India,Mixed,1999,292020.0
Jamaica,Arabica,1999,2280.0
Kenya,Arabica,1999,90120.0
Lao People's Democratic Republic,Robusta,1999,14340.0
Liberia,Robusta,1999,720.0
Mexico,Mixed,1999,373140.0
Nicaragua,Arabica,1999,93240.0
Nigeria,Robusta,1999,2700.0
Panama,Arabica,1999,9960.0
Sierra Leone,Robusta,1999,3540.0
Sri Lanka,Mixed,1999,1920.0
Thailand,Mixed,1999,76380.0
Togo,Robusta,1999,15780.0
Trinidad & Tobago,Robusta,1999,1020.0
Uganda,Mixed,1999,171720.0
Venezuela,Arabica,1999,82020.0
Viet Nam,Mixed,1999,697860.0
Yemen,Arabica,1999,3660.0
Angola,Mixed,2000,3000.0
Bolivia (Plurinational State of),Arabica,2000,8880.0
Brazil,Mixed,2000,1878600.0
Burundi,Mixed,2000,29220.0
Ecuador,Mixed,2000,51240.0
Indonesia,Mixed,2000,419220.0
Madagascar,Robusta,2000,21720.0
Malawi,Arabica,2000,3780.0
Papua New Guinea,Mixed,2000,62460.0
Paraguay,Arabica,2000,1320.0
Peru,Arabica,2000,160560.0
Rwanda,Arabica,2000,16380.0
Timor-Leste,Arabica,2000,420.0
Zimbabwe,Arabica,2000,6540.0
Congo,Robusta,2000,180.0
Cuba,Arabica,2000,18720.0
Dominican Republic,Mixed,2000,28020.0
Haiti,Arabica,2000,25200.0
Philippines,Mixed,2000,20460.0
Tanzania,Mixed,2000,48540.0
Zambia,Arabica,2000,5580.0
Cameroon,Mixed,2000,66780.0
Central African Republic,Robusta,2000,6780.0
Colombia,Arabica,2000,631140.0
Costa Rica,Arabica,2000,145140.0
Côte d'Ivoire,Robusta,2000,290760.0
Democratic Republic of Congo,Mixed,2000,21780.0
El Salvador,Arabica,2000,102240.0
Ethiopia,Arabica,2000,186900.0
Ghana,Robusta,2000,4560.0
Guatemala,Mixed,2000,296400.0
Guinea,Robusta,2000,24000.0
Guyana,Robusta,2000,180.0
Honduras,Arabica,2000,160020.0
India,Mixed,2000,301200.0
Jamaica,Arabica,2000,2220.0
Kenya,Arabica,2000,60120.0
Lao People's Democratic Republic,Robusta,2000,12720.0
Liberia,Robusta,2000,720.0
Mexico,Mixed,2000,288900.0
Nicaragua,Arabica,2000,94320.0
Nigeria,Robusta,2000,2940.0
Panama,Arabica,2000,10200.0
Sierra Leone,Robusta,2000,2940.0
Sri Lanka,Mixed,2000,1980.0
Thailand,Mixed,2000,101520.0
Togo,Robusta,2000,11820.0
Trinidad & Tobago,Robusta,2000,960.0
Uganda,Mixed,2000,204060.0
Venezuela,Arabica,2000,87000.0
Viet Nam,Mixed,2000,890460.0
Yemen,Arabica,2000,3840.0
Angola,Mixed,2001,1260.0
Bolivia (Plurinational State of),Arabica,2001,5640.0
Brazil,Mixed,2001,1881900.0
Burundi,Mixed,2001,8640.0
Ecuador,Mixed,2001,47580.0
Indonesia,Mixed,2001,409980.0
Madagascar,Robusta,2001,8820.0
Malawi,Arabica,2001,3600.0
Papua New Guinea,Mixed,2001,63780.0
Paraguay,Arabica,2001,1320.0
Peru,Arabica,2001,169740.0
Rwanda,Arabica,2001,17760.0
Timor-Leste,Arabica,2001,1980.0
Zimbabwe,Arabica,2001,7260.0
Congo,Robusta,2001,180.0
Cuba,Arabica,2001,17100.0
Dominican Republic,Mixed,2001,23220.0
Haiti,Arabica,2001,24180.0
Philippines,Mixed,2001,15780.0
Tanzania,Mixed,2001,37440.0
Zambia,Arabica,2001,6000.0
Cameroon,Mixed,2001,41160.0
Central African Republic,Robusta,2001,4080.0
Colombia,Arabica,2001,717000.0
Costa Rica,Arabica,2001,134820.0
Côte d'Ivoire,Robusta,2001,215760.0
Democratic Republic of Congo,Mixed,2001,25380.0
El Salvador,Arabica,2001,101640.0
Ethiopia,Arabica,2001,242640.0
Gabon,Robusta,2001,60.0
Ghana,Robusta,2001,420.0
Guatemala,Mixed,2001,220140.0
Guinea,Robusta,2001,14160.0
Guyana,Robusta,2001,300.0
Honduras,Arabica,2001,182160.0
India,Mixed,2001,288600.0
Jamaica,Arabica,2001,1860.0
Kenya,Arabica,2001,59460.0
Lao People's Democratic Republic,Robusta,2001,15480.0
Liberia,Robusta,2001,720.0
Mexico,Mixed,2001,266280.0
Nicaragua,Arabica,2001,64740.0
Nigeria,Robusta,2001,2640.0
Panama,Arabica,2001,9600.0
Sierra Leone,Robusta,2001,4740.0
Sri Lanka,Mixed,2001,1920.0
Thailand,Mixed,2001,42840.0
Togo,Robusta,2001,6720.0
Trinidad & Tobago,Robusta,2001,960.0
Uganda,Mixed,2001,189480.0
Venezuela,Arabica,2001,75900.0
Viet Nam,Mixed,2001,785580.0
Yemen,Arabica,2001,3720.0
Angola,Mixed,2002,3420.0
Bolivia (Plurinational State of),Arabica,2002,7620.0
Brazil,Mixed,2002,2901120.0
Burundi,Mixed,2002,27240.0
Ecuador,Mixed,2002,34920.0
Indonesia,Mixed,2002,403860.0
Madagascar,Robusta,2002,26700.0
Malawi,Arabica,2002,2520.0
Papua New Guinea,Mixed,2002,65100.0
Paraguay,Arabica,2002,2160.0
Peru,Arabica,2002,180000.0
Rwanda,Arabica,2002,19200.0
Timor-Leste,Arabica,2002,2220.0
Zimbabwe,Arabica,2002,6600.0
Congo,Robusta,2002,180.0
Cuba,Arabica,2002,14340.0
Dominican Republic,Mixed,2002,27300.0
Haiti,Arabica,2002,22440.0
Philippines,Mixed,2002,15300.0
Tanzania,Mixed,2002,49440.0
Zambia,Arabica,2002,7140.0
Cameroon,Mixed,2002,48060.0
Central African Republic,Robusta,2002,5520.0
Colombia,Arabica,2002,702720.0
Costa Rica,Arabica,2002,122580.0
Côte d'Ivoire,Robusta,2002,180600.0
Democratic Republic of Congo,Mixed,2002,20280.0
El Salvador,Arabica,2002,81660.0
Ethiopia,Arabica,2002,245640.0
Gabon,Robusta,2002,60.0
Ghana,Robusta,2002,2040.0
Guatemala,Mixed,2002,244200.0
Guinea,Robusta,2002,19680.0
Guyana,Robusta,2002,300.0
Honduras,Arabica,2002,149760.0
India,Mixed,2002,275280.0
Jamaica,Arabica,2002,2220.0
Kenya,Arabica,2002,56700.0
Lao People's Democratic Republic,Robusta,2002,24120.0
Liberia,Robusta,2002,720.0
Mexico,Mixed,2002,261060.0
Nicaragua,Arabica,2002,70200.0
Nigeria,Robusta,2002,3000.0
Panama,Arabica,2002,8400.0
Sierra Leone,Robusta,2002,2520.0
Sri Lanka,Mixed,2002,2040.0
Thailand,Mixed,2002,43920.0
Togo,Robusta,2002,4080.0
Trinidad & Tobago,Robusta,2002,1020.0
Uganda,Mixed,2002,173400.0
Venezuela,Arabica,2002,89040.0
Viet Nam,Mixed,2002,694440.0
Yemen,Arabica,2002,3420.0
Angola,Mixed,2003,2280.0
Bolivia (Plurinational State of),Arabica,2003,6180.0
Brazil,Mixed,2003,1732380.0
Burundi,Mixed,2003,20280.0
Ecuador,Mixed,2003,38460.0
Indonesia,Mixed,2003,384240.0
Madagascar,Robusta,2003,26100.0
Malawi,Arabica,2003,2880.0
Papua New Guinea,Mixed,2003,69300.0
Paraguay,Arabica,2003,2820.0
Peru,Arabica,2003,161160.0
Rwanda,Arabica,2003,15960.0
Timor-Leste,Arabica,2003,2520.0
Zimbabwe,Arabica,2003,5520.0
Congo,Robusta,2003,180.0
Cuba,Arabica,2003,13440.0
Dominican Republic,Mixed,2003,21060.0
Haiti,Arabica,2003,22440.0
Philippines,Mixed,2003,17580.0
Tanzania,Mixed,2003,36720.0
Zambia,Arabica,2003,6000.0
Cameroon,Mixed,2003,54000.0
Central African Republic,Robusta,2003,2580.0
Colombia,Arabica,2003,663180.0
Costa Rica,Arabica,2003,113160.0
Côte d'Ivoire,Robusta,2003,178860.0
Democratic Republic of Congo,Mixed,2003,27060.0
El Salvador,Arabica,2003,82800.0
Ethiopia,Arabica,2003,263640.0
Ghana,Robusta,2003,1080.0
Guatemala,Mixed,2003,216600.0
Guinea,Robusta,2003,21960.0
Guyana,Robusta,2003,300.0
Honduras,Arabica,2003,178080.0
India,Mixed,2003,282480.0
Jamaica,Arabica,2003,2220.0
Kenya,Arabica,2003,40380.0
Lao People's Democratic Republic,Robusta,2003,21660.0
Liberia,Robusta,2003,300.0
Mexico,Mixed,2003,252060.0
Nepal,Arabica,2003,60.0
Nicaragua,Arabica,2003,90540.0
Nigeria,Robusta,2003,2760.0
Panama,Arabica,2003,10320.0
Sierra Leone,Robusta,2003,2160.0
Sri Lanka,Mixed,2003,2220.0
Thailand,Mixed,2003,49620.0
Togo,Robusta,2003,8640.0
Trinidad & Tobago,Robusta,2003,960.0
Uganda,Mixed,2003,155940.0
Venezuela,Arabica,2003,85260.0
Viet Nam,Mixed,2003,920220.0
Yemen,Arabica,2003,11580.0
Angola,Mixed,2004,900.0
Bolivia (Plurinational State of),Arabica,2004,9300.0
Brazil,Mixed,2004,2356860.0
Burundi,Mixed,2004,26220.0
Ecuador,Mixed,2004,46800.0
Indonesia,Mixed,2004,452160.0
Madagascar,Robusta,2004,31320.0
Malawi,Arabica,2004,1260.0
