Country,Year,Import_tonnes
Italy,2016,613440.0
Latvia,2016,13860.0
Lithuania,2016,29940.0
Luxembourg,2016,23640.0
Malta,2016,1140.0
Netherlands,2016,286860.0
Poland,2016,229620.0
Portugal,2016,67680.0
Romania,2016,68040.0
Slovakia,2016,54360.0
Slovenia,2016,19380.0
Spain,2016,339600.0
Sweden,2016,141000.0
Japan,2016,481560.0
Norway,2016,47940.0
Russian Federation,2016,313980.0
Switzerland,2016,168960.0
Tunisia,2016,27960.0
United Kingdom,2016,303120.0
United States of America,2016,1730280.0
Austria,2017,87600.0
Belgium,2017,340620.0
Bulgaria,2017,42420.0
Croatia,2017,26340.0
Cyprus,2017,6000.0
Czechia,2017,90420.0
Denmark,2017,51120.0
Estonia,2017,7980.0
Finland,2017,81600.0
France,2017,418020.0
Germany,2017,1305900.0
Greece,2017,52020.0
Hungary,2017,43320.0
Ireland,2017,25620.0
Italy,2017,601200.0
Latvia,2017,13740.0
Lithuania,2017,25920.0
Luxembourg,2017,22800.0
Malta,2017,1020.0
Netherlands,2017,304080.0
Poland,2017,239940.0
Portugal,2017,65640.0
Romania,2017,69300.0
Slovakia,2017,43380.0
Slovenia,2017,24060.0
Spain,2017,324840.0
Sweden,2017,138360.0
Japan,2017,458820.0
Norway,2017,48060.0
Russian Federation,2017,328080.0
Switzerland,2017,174240.0
Tunisia,2017,32760.0
United Kingdom,2017,299340.0
United States of America,2017,1769280.0
Austria,2018,85740.0
Belgium,2018,344520.0
Bulgaria,2018,44220.0
Croatia,2018,26760.0
Cyprus,2018,7980.0
Czechia,2018,114180.0
Denmark,2018,52080.0
Estonia,2018,8820.0
Finland,2018,77100.0
France,2018,457440.0
Germany,2018,1328820.0
Greece,2018,69600.0
Hungary,2018,46740.0
Ireland,2018,26400.0
Italy,2018,638340.0
Latvia,2018,14580.0
Lithuania,2018,26460.0
Luxembourg,2018,25980.0
Malta,2018,1140.0
Netherlands,2018,331200.0
Poland,2018,259500.0
Portugal,2018,68400.0
Romania,2018,70440.0
Slovakia,2018,53400.0
Slovenia,2018,33000.0
Spain,2018,340380.0
Sweden,2018,135720.0
Japan,2018,452400.0
Norway,2018,44580.0
Russian Federation,2018,317280.0
Switzerland,2018,185160.0
Tunisia,2018,31980.0
United Kingdom,2018,341280.0
United States of America,2018,1735080.0
Austria,2019,86880.0
Belgium,2019,371940.0
Bulgaria,2019,47100.0
Croatia,2019,27960.0
Cyprus,2019,7980.0
Czechia,2019,96540.0
Denmark,2019,54480.0
Estonia,2019,8880.0
Finland,2019,90900.0
France,2019,479580.0
Germany,2019,1345920.0
Greece,2019,74760.0
Hungary,2019,46380.0
Ireland,2019,26280.0
Italy,2019,654840.0
Latvia,2019,14100.0
Lithuania,2019,28440.0
Luxembourg,2019,24120.0
Malta,2019,1380.0
Netherlands,2019,321240.0
Poland,2019,267120.0
Portugal,2019,73200.0
Romania,2019,69900.0
Slovakia,2019,46380.0
Slovenia,2019,37200.0
Spain,2019,359040.0
Sweden,2019,140880.0
Japan,2019,482400.0
Norway,2019,47160.0
Russian Federation,2019,355020.0
Switzerland,2019,193680.0
Tunisia,2019,30480.0
United Kingdom,2019,333240.0
United States of America,2019,1851240.0
